time,Machine,int_AfterCutWitdh,int_FinalWitdh,int_SetExtrusionCuttingWitdh,real_ActualCrossCutterCurrent,real_ActualCrossCutterSpeed,real_ActualCurrentTextilConv,real_ActualFinalTemp,real_ActualGapPositionOs,real_ActualGapPressureDownDs,real_ActualGapPressureDownOs,real_ActualGapPressureUpDs,real_ActualGapPressureUpOs,real_ActualInnerlinerBarrel1TCU,real_ActualInnerlinerBarrel2TCU,real_ActualInnerlinerInletTCU,real_ActualInnerlinerLowHeadTCU,real_ActualInnerlinerScrewTCU,real_ActualInnerlinerUpHeadTCU,real_ActualMotorCollingConvCurrent,real_ActualMotorCollingConvSpeed,real_ActualPF01LinerLeftThick,real_ActualPF01LinerRightThick,real_ActualPF01PositionStripLeft,real_ActualPF01PositionStripRight,real_ActualPF01StripLeftThick,real_ActualPF01StripRightThick,real_ActualPF01TotalWidth,real_ActualPF01WidthStripLeft,real_ActualPF01WidthStripRight,real_ActualPF02LinerLeftThick,real_ActualPF02LinerRightThick,real_ActualPF02PositionStripLeft,real_ActualPF02PositionStripRight,real_ActualPF02StripLeftThick,real_ActualPF02StripRightThick,real_ActualPF02TotalWidth,real_ActualPF02WidthStripLeft,real_ActualPF02WidthStripRight,real_ActualPositionGapDs,real_ActualPressureCompound,real_ActualRoll01UpTCU,real_ActualRoll02LowTCU,real_ActualSpeedCuttingRolls,real_ActualSpeedTextilConv,real_ActualTempCollingInlet,real_ActualTempCollingOutlet,real_ActualTempCompound,real_ActualTension1,real_ActualTension2,real_ActualTension3,real_ActualTension4,real_ActualTensionGumStripDs,real_ActualTensionGumStripOs,real_ExtruderMotorCurrent,real_ExtruderMotorRpm,real_ExtruderMotorSet,real_ReturnMotorCurrent,real_ReturnMotorSpeed,real_RollLowMotorCurrent,real_RollLowMotorSpeed,real_RollUpMotorCurrent,real_RollUpMotorSpeed,real_SetFricitionCuttingRolls,real_SetFrictionRolls,real_SetGapPositionDs,real_SetGapPositionOs,real_SetInnerlinerBarrel1TCU,real_SetInnerlinerBarrel2TCU,real_SetInnerlinerInletTCU,real_SetInnerlinerLowHeadTCU,real_SetInnerlinerScrewTCU,real_SetInnerlinerUpHeadTCU,real_SetPressureCompound,real_SetRoll01UpTCU,real_SetRoll02LowTCU,real_SetTempColling,real_SetTension1,real_SetTension3,real_SetTension4,real_SetTensionFriction2,real_SpeedUnderT1T2,real_feederMotorCurrent,real_feederMotorSpeed,real_pressureFirstPin,real_tempSensorBarrel1,real_tempSensorBarrel2,real_tempSensorInlet,real_tempSensorLoHead,real_tempSensorScrew,real_tempSensorUpHead,string_RecipeA1,string_RecipeA2,string_RecipeA3,string_RecipeA4
2020-11-02T18:05:39.024779498Z,Innerliner03,3897,3801,3860,1.95234370231628,24.612548828125,2.4429931640625,22.885534286499,1.05590057373047,117.865669250488,124.773941040039,118.824142456055,126.338249206543,65,64,40,70,75,70,2.25190734863281,25.4547119140625,0,0,5.87914630577631E-39,0,0,6.33664923490139E-39,0,0,0,1.89375400543213,1.87097084522247,0,0,2.47379207611084,2.32924962043762,380.344940185547,0,0,1.06496810913086,55.3857879638672,60,80,27.4983177185059,25.4630146026611,13.2035284042358,20.9454555511475,101.638793945313,1.49201798439026,1.95161700248718,1.08882594108582,1.25490748882294,0.671477138996124,0.430591702461243,381.475524902344,14.0473079681396,8,1.33760619163513,31.6158676147461,15.5500497817993,24.9981784820557,13.2044687271118,23.7499122619629,10,-5,1.05999994277954,1.05999994277954,65,65,40,70,75,70,70,60,80,21,1.5,1,1.29999995231628,7,23.75927734375,1.80939567089081,1.95869135856628,30.5850696563721,65,64,40,70,75,70,982640004500,982640004500,982640004500,982640004500
2020-11-02T18:05:40.023191749Z,Innerliner03,3896,3801,3860,1.94518423080444,24.541259765625,2.44085693359375,22.9014320373535,1.05465888977051,117.965133666992,124.74681854248,119.37572479248,126.356338500977,65,64,40,70,75,70,2.24525141716003,25.4638671875,0,0,5.87914630577631E-39,0,0,6.33664923490139E-39,0,0,0,1.89375400543213,1.87097084522247,0,0,2.47379207611084,2.32924962043762,380.344940185547,0,0,1.06369400024414,55.9690628051758,60,80,27.4983177185059,25.4249458312988,13.2660284042358,20.9454555511475,101.638793945313,1.49280285835266,1.93151783943176,1.00970697402954,1.33588063716888,0.671657979488373,0.430953413248062,383.561096191406,14.0473079681396,8,1.33760619163513,31.6233882904053,15.5192880630493,24.9981784820557,13.1352548599243,23.7499122619629,10,-5,1.05999994277954,1.05999994277954,65,65,40,70,75,70,70,60,80,21,1.5,1,1.29999995231628,7,23.8037109375,1.80402088165283,1.99274897575378,32.0174827575684,65,64,40,70,75,70,982640004500,982640004500,982640004500,982640004500
2020-11-02T18:05:41.018962568Z,Innerliner03,3896,3806,3860,1.95358884334564,24.5270023345947,2.4412841796875,22.8775844573975,1.05838584899902,117.449722290039,124.801071166992,119.194877624512,127.034507751465,65,64,40,70,75,70,2.23682069778442,25.4730224609375,0,0,5.87914630577631E-39,0,0,6.33664923490139E-39,0,0,0,1.87158334255219,1.86259114742279,0,0,2.43470478057861,2.37354779243469,380.324859619141,0,0,1.06624221801758,55.5506286621094,60,80,27.4983177185059,25.4249458312988,13.2660284042358,20.9454555511475,101.538467407227,1.49986910820007,1.94618487358093,0.932582855224609,1.29276502132416,0.670753717422485,0.429868340492249,382.27294921875,14.0473079681396,8,1.33737301826477,31.6309070587158,15.4731454849243,24.9981784820557,13.1429452896118,23.7462635040283,10,-5,1.05999994277954,1.05999994277954,65,65,40,70,75,70,70,60,80,21,1.5,1,1.29999995231628,7,23.79736328125,1.7999107837677,1.92841792106628,31.7148609161377,65,64,40,70,75,70,982640004500,982640004500,982640004500,982640004500
2020-11-02T18:05:42.025295179Z,Innerliner03,3896,3803,3860,1.95452260971069,24.612548828125,2.4395751953125,22.8537368774414,1.05962753295898,117.485893249512,124.810111999512,118.860313415527,127.115882873535,65,64,40,70,75,70,2.23504567146301,25.457763671875,0,0,5.87914630577631E-39,0,0,6.33664923490139E-39,0,0,0,1.87158334255219,1.86259114742279,0,0,2.43470478057861,2.37354779243469,380.324859619141,0,0,1.06624221801758,55.4618682861328,60,80,27.4983177185059,25.4587841033936,13.2660284042358,20.9454555511475,101.638793945313,1.49672865867615,1.93061244487762,0.99552321434021,1.27856850624084,0.671296298503876,0.430230021476746,384.419860839844,14.0428419113159,8,1.33690667152405,31.6309070587158,15.4500741958618,24.9945297241211,13.0814218521118,23.7499122619629,10,-5,1.05999994277954,1.05999994277954,65,65,40,70,75,70,70,60,80,21,1.5,1,1.29999995231628,7,23.8037109375,1.79927849769592,1.83229970932007,33.5507736206055,65,64,40,70,75,70,982640004500,982640004500,982640004500,982640004500
2020-11-02T18:05:43.022335858Z,Innerliner03,3897,3802,3860,1.94736325740814,24.5697765350342,2.4412841796875,22.8457870483398,1.05962753295898,117.992256164551,124.810111999512,119.366683959961,127.088760375977,65,64,40,70,75,70,2.24125790596008,25.45166015625,0,0,5.87914630577631E-39,0,0,6.33664923490139E-39,0,0,0,1.87158334255219,1.86259114742279,0,0,2.43470478057861,2.37354779243469,380.324859619141,0,0,1.06369400024414,55.6013450622559,60,80,27.494441986084,25.4376354217529,13.2660284042358,20.9454555511475,101.638793945313,1.50248599052429,1.91413474082947,1.02810168266296,1.3732123374939,0.672200500965118,0.431315094232559,382.702331542969,14.0473079681396,8,1.33783936500549,31.6158676147461,15.4577646255493,24.9981784820557,13.0968027114868,23.7499122619629,10,-5,1.05999994277954,1.05999994277954,65,65,40,70,75,70,70,60,80,21,1.5,1,1.29999995231628,7,23.79736328125,1.80117547512054,1.72407221794128,30.595157623291,65,64,40,70,75,70,982640004500,982640004500,982640004500,982640004500
2020-11-02T18:05:44.024690741Z,Innerliner03,3896,3792,3860,1.95047605037689,24.5376968383789,2.44342041015625,22.9093818664551,1.05962753295898,117.494934082031,124.792030334473,119.366683959961,127.106842041016,65,64,40,70,75,70,2.24835753440857,25.4486083984375,0,0,5.87914630577631E-39,0,0,6.33664923490139E-39,0,0,0,1.87158334255219,1.86259114742279,0,0,2.43470478057861,2.37354779243469,380.324859619141,0,0,1.06496810913086,55.6520652770996,60,80,27.494441986084,25.4164867401123,13.2660284042358,20.9454555511475,101.638793945313,1.50091576576233,1.9201101064682,0.978236675262451,1.28014588356018,0.670753717422485,0.430049180984497,383.990478515625,14.0428419113159,8,1.33597409725189,31.638427734375,15.3885507583618,24.9981784820557,13.0275888442993,23.7462635040283,10,-5,1.05999994277954,1.05999994277954,65,65,40,70,75,70,70,60,80,21,1.5,1,1.29999995231628,7,23.79736328125,1.79959464073181,1.63552236557007,34.8419647216797,65,64,40,70,75,70,982640004500,982640004500,982640004500,982640004500
2020-11-02T18:05:45.023045945Z,Innerliner03,3897,3804,3860,1.94985342025757,24.55908203125,2.4447021484375,22.8696346282959,1.05962753295898,117.133247375488,124.792030334473,118.986907958984,127.025459289551,65,64,40,70,75,70,2.24924492835999,25.4638671875,0,0,5.87914630577631E-39,0,0,6.33664923490139E-39,0,0,0,1.88922512531281,1.88209331035614,0,0,2.37080311775208,2.38281393051147,380.888610839844,0,0,1.06879043579102,55.9437026977539,60,80,27.494441986084,25.3784198760986,13.2660284042358,20.9454555511475,101.638793945313,1.49882245063782,1.93224215507507,1.03076100349426,1.32080769538879,0.671657979488373,0.430230021476746,383.131713867188,14.0473079681396,8,1.33574092388153,31.6083488464355,15.4116220474243,24.9945297241211,13.0814218521118,23.7499122619629,10,-5,1.05999994277954,1.05999994277954,65,65,40,70,75,70,70,60,80,21,1.5,1,1.29999995231628,7,23.81640625,1.79611682891846,1.56816399097443,31.2911891937256,65,64,40,70,75,70,982640004500,982640004500,982640004500,982640004500
2020-11-02T18:05:46.024182414Z,Innerliner03,3897,3808,3860,1.95109856128693,24.5234375,2.44342041015625,22.8378391265869,1.05962753295898,117.938003540039,124.801071166992,119.276260375977,126.980247497559,65,64,40,70,75,70,2.24258899688721,25.4730224609375,0,0,5.87914630577631E-39,0,0,6.33664923490139E-39,0,0,0,1.88922512531281,1.88209331035614,0,0,2.37080311775208,2.38281393051147,380.888610839844,0,0,1.06496810913086,55.3223876953125,60,80,27.494441986084,25.357271194458,13.2660284042358,20.9454555511475,101.739135742188,1.5087673664093,1.93930399417877,0.991755723953247,1.27103197574615,0.670392036437988,0.429325789213181,384.7265625,14.0428419113159,8,1.33550775051117,31.6271476745605,15.4423837661743,24.9981784820557,13.0583505630493,23.7499122619629,10,-5,1.05999994277954,1.05999994277954,65,65,40,70,75,70,70,60,80,21,1.5,1,1.29999995231628,7,23.77197265625,1.79548454284668,1.53713369369507,38.3725624084473,65,64,40,70,75,70,982640004500,982640004500,982640004500,982640004500
2020-11-02T18:05:47.025185673Z,Innerliner03,3895,3807,3860,1.95234370231628,24.5697765350342,2.44171142578125,22.885534286499,1.05962753295898,117.567276000977,124.76490020752,119.402847290039,126.96216583252,65,64,40,70,75,70,2.23682069778442,25.457763671875,0,0,5.87914630577631E-39,0,0,6.33664923490139E-39,0,0,0,1.88922512531281,1.88209331035614,0,0,2.37080311775208,2.38281393051147,380.888610839844,0,0,1.06369400024414,55.7408256530762,60,80,27.494441986084,25.4037971496582,13.3285284042358,20.9454555511475,101.739135742188,1.50065445899963,1.92119657993317,0.951642274856567,1.31186902523041,0.670572876930237,0.4296875,382.947692871094,14.0473079681396,8,1.33480834960938,31.6233882904053,15.4039316177368,24.9981784820557,13.0352792739868,23.7499122619629,10,-5,1.05999994277954,1.05999994277954,65,65,40,70,75,70,70,60,80,21,1.5,1,1.29999995231628,7,23.8037109375,1.79896235466003,1.51140129566193,31.8560848236084,65,64,40,70,75,70,982640004500,982640004500,982640004500,982640004500
2020-11-02T18:05:48.020851254Z,Innerliner03,3897,3809,3860,1.95296621322632,24.5662117004395,2.44171142578125,22.8537368774414,1.05962753295898,117.060905456543,124.801071166992,119.068283081055,126.889831542969,65,64,40,70,75,70,2.23726439476013,25.445556640625,0,0,5.87914630577631E-39,0,0,6.33664923490139E-39,0,0,0,1.88922512531281,1.88209331035614,0,0,2.37080311775208,2.38281393051147,380.888610839844,0,0,1.0675163269043,55.3984680175781,60,80,27.494441986084,25.4376354217529,13.3285284042358,20.9454555511475,101.739135742188,1.49620509147644,1.92065334320068,0.964717864990234,1.34481918811798,0.670934557914734,0.429868340492249,384.113159179688,14.0428419113159,8,1.33527457714081,31.6121082305908,15.3731698989868,24.9945297241211,13.0506601333618,23.7499122619629,10,-5,1.05999994277954,1.05999994277954,65,65,40,70,75,70,70,60,80,21,1.5,1,1.29999995231628,7,23.787841796875,1.80149161815643,1.58405756950378,34.700740814209,65,64,40,70,75,70,982640004500,982640004500,982640004500,982640004500
